num items,num bidders,avg rev,,
4,29,21.54065923,21.54065923,1.42109E-14
4,30,21.9089023,21.9089023,4.61853E-14
4,31,22.27105745,22.27105745,8.52651E-14
4,32,22.40114283,22.627417,0.22627417
4,33,22.97825059,22.97825059,1.42109E-14
4,34,23.32380758,23.32380758,3.55271E-15
4,35,23.66431913,23.66431913,6.39488E-14
4,36,24,24,0
4,37,24.33105012,24.33105012,7.81597E-14
4,38,24.65765601,24.65765601,3.55271E-15
4,39,24.97999199,24.97999199,9.23706E-14
4,40,25.29822128,25.29822128,3.55271E-14
4,41,25.61249695,25.61249695,9.23706E-14
4,42,25.92296279,25.92296279,4.26326E-14
4,43,26.2297541,26.2297541,0
4,44,26.53299832,26.53299832,0
4,45,26.83281573,26.83281573,7.81597E-14
4,46,27.12931993,27.12931993,7.10543E-14
4,47,27.28550531,27.4226184,0.137113092
4,48,27.71281292,27.71281292,3.55271E-14
4,49,28,28,0
4,50,28.28427125,28.28427125,3.55271E-15
4,51,28.56571371,28.56571371,0
4,52,28.8444102,28.8444102,1.42109E-14
4,53,29.12043956,29.12043956,7.10543E-14
4,54,29.39387691,29.39387691,3.90799E-14
4,55,29.66479395,29.66479395,5.32907E-14
4,56,29.93325909,29.93325909,3.19744E-14
4,57,30.19933774,30.19933774,0
4,58,30.46309242,30.46309242,3.55271E-14
4,59,30.72458299,30.72458299,3.19744E-14
4,60,30.98386677,30.98386677,3.55271E-14
4,61,31.2409987,31.2409987,1.42109E-14
4,62,31.4960315,31.4960315,4.61853E-14
4,63,31.74901573,31.74901573,8.88178E-14
4,64,32,32,0
4,65,32.24903099,32.24903099,0
4,66,32.49615362,32.49615362,4.26326E-14
4,67,32.74141109,32.74141109,0
4,68,32.984845,32.984845,8.52651E-14
4,69,33.22649545,33.22649545,0
4,70,33.46640106,33.46640106,2.13163E-14
4,71,33.70459909,33.70459909,3.55271E-14
4,72,33.9411255,33.9411255,7.81597E-14
4,73,34.17601498,34.17601498,2.13163E-14
4,74,34.40930107,34.40930107,7.10543E-15
4,75,34.64101615,34.64101615,4.9738E-14
4,76,34.87119155,34.87119155,9.23706E-14
4,77,35.09985755,35.09985755,9.23706E-14
4,78,35.32704347,35.32704347,9.23706E-14
4,79,35.55277767,35.55277767,5.68434E-14
