num items,num bidders,avg rev
4,3,4.555293624
4,4,6.1
4,5,7.781516562
4,6,8.499729407
4,7,9.630534772
4,8,10.26719046
4,9,10.89
4,10,11.73205012
4,11,12.47050921
4,12,13.5099963
4,13,13.62898382
4,14,14.48021409
4,15,14.63987705
4,16,15.52
4,17,15.91518771
4,18,16.75843071
4,19,17.21765083
4,20,17.70965838
4,21,18.05534824
4,22,18.38642978
4,23,18.94353452
4,24,19.49793835
4,25,19.55
4,26,20.09013688
4,27,20.47284055
4,28,21.06018044
4,29,21.48680758
4,30,21.74458553
4,31,21.93699159
4,32,22.34457429
4,33,22.63357683
4,34,23.20718854
4,35,23.60515833
4,36,23.94
4,37,24.2702225
4,38,24.34943531
4,39,24.97999199
4,40,25.17173017
4,41,25.35637198
4,42,25.79334798
4,43,26.03303094
4,44,26.53299832
4,45,26.83281573
4,46,27.12931993
4,47,27.4226184
4,48,27.64353089
4,49,28
4,50,28.28427125
4,51,28.49429943
4,52,28.8444102
4,53,28.75643406
4,54,29.39387691
4,55,29.59063196
4,56,29.70875965
4,57,30.19933774
4,58,30.46309242
4,59,30.3405257
4,60,30.98386677
4,61,31.16289621
4,62,31.4960315
4,63,31.74901573
4,64,31.92
4,65,32.24903099
4,66,32.41491323
4,67,32.74141109
4,68,32.90238289
4,69,33.22649545
4,70,33.13173705
4,71,33.5360761
4,72,33.85627268
4,73,34.17601498
4,74,34.40930107
4,75,34.64101615
4,76,34.87119155
4,77,35.09985755
4,78,35.32704347
4,79,35.55277767
4,80,35.77708764
5,2,2.71529004
5,3,4.745819213
5,4,6.82
5,5,8.318172876
5,6,9.895938561
5,7,11.11215551
5,8,12.44507935
5,9,12.99
5,10,14.3251178
5,11,15.42230528
5,12,16.14271353
5,13,17.16242407
5,14,17.66062287
5,15,18.43540073
5,16,19.08
5,17,19.91460017
5,18,19.85555842
5,19,21.14065988
5,20,21.68985938
5,21,22.45462091
5,22,22.93613307
5,23,23.16386626
5,24,24.05398927
5,25,24.2
5,26,25.24014659
5,27,25.35722382
5,28,26.08710793
5,29,26.49501085
5,30,26.89317757
5,31,27.28204538
5,32,28.11456562
5,33,28.49303073
5,34,28.68828332
5,35,28.98879094
5,36,29.7
5,37,30.23132978
5,38,30.69878173
5,39,30.66294017
5,40,31.4962855
5,41,31.8875587
5,42,32.07966646
5,43,32.59046947
5,44,33.03358291
5,45,33.33977354
5,46,33.91164992
5,47,34.20971646
5,48,34.64101615
5,49,35
5,50,35.2139177
5,51,35.42148501
5,52,35.83917968
5,53,36.32774835
5,54,36.74234614
5,55,37.00683045
5,56,37.41657387
5,57,37.74917218
5,58,38.07886553
5,59,38.32891728
5,60,38.57491413
5,61,39.05124838
5,62,39.13381913
5,63,39.68626967
5,64,40
5,65,40.23066616
5,66,40.2139901
5,67,40.92676386
5,68,41.06613203
5,69,41.53311931
5,70,41.74933532
5,71,42.13074887
5,72,42.34155406
5,73,42.54913865
5,74,42.92560308
5,75,43.30127019
5,76,43.50181146
5,77,43.87482194
5,78,43.8055339
5,79,43.90768042
5,80,44.72135955
6,2,2.814284989
6,3,4.763139721
6,4,6.72
6,5,8.98899327
6,6,11.07169364
6,7,12.14399852
6,8,13.91586145
6,9,15.27
6,10,16.47546661
6,11,17.71077638
6,12,19.50289209
6,13,20.11897612
6,14,20.65394877
6,15,21.64997691
6,16,23.04
6,17,23.66662629
6,18,24.01334629
6,19,24.27906712
6,20,25.49117494
6,21,26.395636
6,22,26.92298646
6,23,27.33623968
6,24,28.5610504
6,25,29.15
6,26,29.93124454
6,27,30.34553015
6,28,31.2727805
6,29,31.61091742
6,30,32.31563089
6,31,31.9032898
6,32,33.20573444
6,33,33.95036524
6,34,34.4609257
6,35,34.72738833
6,36,35.1
6,37,36.0707818
6,38,36.73990746
6,39,37.34508803
6,40,37.63110416
6,41,38.09858921
6,42,38.49559975
6,43,39.0823336
6,44,39.5341675
6,45,39.77964932
6,46,40.4226867
6,47,41.1339276
6,48,41.15352719
6,49,41.72
6,50,42.21427484
6,51,42.63432772
6,52,43.26661531
6,53,43.24385274
6,54,44.09081537
6,55,44.34886695
6,56,44.30122346
6,57,45.22350827
6,58,45.54232317
6,59,45.77962866
6,60,46.39834049
6,61,46.23667808
6,62,47.24404724
6,63,47.46477852
6,64,47.92
6,65,48.21230133
6,66,48.58174966
6,67,48.53914194
6,68,49.47726751
6,69,49.83974318
6,70,50.19960159
6,71,50.55689864
6,72,50.91168825
6,73,51.26402247
6,74,51.6139516
6,75,51.70171661
6,76,52.21960934
6,77,52.64978632
6,78,52.9905652
6,79,53.3291665
6,80,53.57618874
7,2,2.814284989
7,3,4.970985818
7,4,6.9
7,5,9.033714629
7,6,11.16967323
7,7,13.41395915
7,8,15.78262336
7,9,17.16
7,10,18.43607876
7,11,18.80526256
7,12,21.442789
7,13,22.39047342
7,14,23.60985811
7,15,23.85757741
7,16,25.76
7,17,26.63526234
7,18,27.83172291
7,19,27.94054223
7,20,29.78442546
7,21,30.42830261
7,22,31.47268975
7,23,31.22086322
7,24,33.01912173
7,25,33.4
7,26,34.46937191
7,27,34.9701058
7,28,35.82347275
7,29,36.67297234
7,30,37.1355894
7,31,37.30402123
7,32,38.57974598
7,33,39.69492789
